"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"220";;;
2;"SW6,SW5,SW4,SW3,SW2,SW1";"SW_PUSH_6mm";6;"SW_Push";;;
3;"R2,R13,R9,R14,R4,R11,R10,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";8;"1k";;;
4;"U15,U14";"DIP-14_W7.62mm";2;"74LS27";;;
5;"J11";"PinSocket_2x01_P2.54mm_Vertical";1;"Conn_02x01";;;
6;"U5,U4";"DIP-28_W15.24mm";2;"CY62256-70PC";;;
7;"U3";"DIP-28_W15.24mm";1;"28C256";;;
8;"J4,J6,J7,J2,J5,J1,J3";"PinSocket_2x32_P2.54mm_Vertical";7;"Conn_02x32_Odd_Even";;;
9;"U11";"DIP-14_W7.62mm";1;"74AHC04";;;
10;"U1";"DIP-40_W15.24mm";1;"W65C02SxP";;;
11;"U29";"DIP-16_W7.62mm";1;"74LS148";;;
12;"U2";"DIP-40_W15.24mm";1;"W65C22SxP";;;
13;"C25,C21,C27,C19,C26,C22,C20,C23,C24";"C_Disc_D3.8mm_W2.6mm_P2.50mm";9;"100n";;;
14;"H2,H3,H1,H4";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole_Pad";;;
15;"U27,U25,U10,U26";"DIP-14_W7.62mm";4;"74HC02";;;
16;"C3,C8,C2,C10,C16,C14,C1,C15,C7,C6,C9,C5,C4";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";13;"100n";;;
17;"JP3,JP2,JP9,JP7,JP1,JP8,JP0";"PinHeader_1x03_P2.54mm_Vertical";7;"Jumper_3_Bridged12";;;
18;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"47k";;;
19;"C13,C12,C17,C18";"CP_Radial_D5.0mm_P2.00mm";4;"10u";;;
20;"RN4,RN3,RN2";"R_Array_SIP9";3;"R_Network08_US";;;
21;"U19,U20,U18";"DIP-20_W7.62mm";3;"74HC245";;;
22;"Q1,Q2";"TO-92_Inline";2;"2N7000";;;
23;"U8";"DIP-16_W7.62mm";1;"74LS139";;;
24;"JP6,JP5,JP4";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper_2_Bridged";;;
25;"U21,U13";"DIP-14_W7.62mm";2;"74LS08";;;
26;"U23";"DIP-16_W7.62mm";1;"74LS163";;;
27;"RN1";"R_Array_SIP6";1;"R_Network05_US";;;
28;"C29";"CP_Radial_D5.0mm_P2.00mm";1;"C_Polarized";;;
29;"U28";"DIP-8_W7.62mm";1;"LMC555xN";;;
30;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"1M";;;
31;"J10";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
32;"U17,U16";"DIP-16_W7.62mm";2;"74LS173";;;
33;"U7,U6";"DIP-16_W7.62mm";2;"74LS138";;;
34;"U22";"DIP-14_W7.62mm";1;"74LS86";;;
35;"LS1";"Buzzer_15x7.5RM7.6";1;"Speaker";;;
36;"J8,J9";"PinSocket_1x10_P2.54mm_Vertical";2;"Conn_01x10";;;
37;"U9,U12";"DIP-14_W7.62mm";2;"74HC00";;;
38;"C28";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"10n";;;
39;"U24";"DIP-16_W7.62mm";1;"74LS109";;;
40;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"10k";;;
41;"D1";"LED_D3.0mm";1;"LED";;;
42;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
43;"X1";"Oscillator_DIP-8";1;"TFT660";;;
44;"D2";"LED_D5.0mm";1;"LED";;;
45;"J0";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
46;"C11";"CP_Radial_D16.0mm_P7.50mm";1;"2200u";;;
